mechanism,physical_origin,natural_occurrence,effective_nonlinearity,weak_field,large_deformation,new_structure,native_result,reduced_class
"Reversible strain stiffening","alignment; bending-to-stretching; nonlinear elastic response","biopolymer and fiber networks","smooth polynomial/power/rapid mixed-invariant growth","conditional: exact zero 2-jet","progressive hardening; possible coercivity or barrier","none after state-local reduction; profile remains unselected","survives conditionally","D1; optionally D2"
"Plastic work hardening","irreversible microstructural evolution","metals and plastically deforming solids","history-dependent tangent","cannot be a function of C alone","hardening with hysteresis","plastic/internal state and history","rejected","none"
"Finite extensibility","exhaustion of configurational extension","rubber-like and semiflexible networks","barrier divergence or constrained endpoint","conditional: regular zero-2-jet reference neighborhood","finite extensibility; asymptotic stiffening","literal chain account needs constituents and scales","endpoint phenotype survives; literal origin not native","D2 or D3"
"Geometric locking","alignment; mode exhaustion; configuration crowding","fiber networks; cellular structures; dense packings","mixed-invariant growth or boundary singularity","conditional after state-local isotropic reduction","hardening; possible barrier","literal account needs fabric/contact/configuration state","reduced phenotype survives","D1 or D2/D3"
"Anharmonic elasticity","nonquadratic restoring landscape","crystals; nonlinear solids; nonlinear-lattice analogues","higher-order invariant interior remainder","yes by exact zero 2-jet","hardening/softening/coercivity/barrier depending member","no new variable or scale structurally","survives","D1"
"Cooperative wave interaction","finite-amplitude mode coupling and self-interaction","nonlinear solids; fluids; optics; lattices","dynamic amplitude/frequency-dependent response","no independently; only after complete local elimination","not intrinsic","modes phases gradients frequencies and couplings","rejected independently; eliminated version reduces","D1 after reduction"
"Elastic saturation","response plateau or exhaustion of admissible deformation","soft networks and transforming/damaging materials","finite limit or constrained endpoint","can preserve jet but local test is insufficient","saturation or finite endpoint","often history/damage/phase state","only constrained deformation endpoint survives","D3; D2 if divergent stiffening"
"Barrier formation","energetic resistance at admissible-domain boundary","limiting-stretch and noninterpenetration continuum models","complete logarithmic/algebraic/rational divergence","yes if regular zero-2-jet near reference","barrier and finite extensibility","no new variable; boundary/profile remain unselected","survives","D2"
"Phase switching and multiwell elasticity","competing configurations","martensitic and transforming solids","multiwell/nonmonotone interior energy","yes branchwise","branch transitions; no intrinsic capacity","literal physics needs phase fraction interfaces history and length","only bare multiwell scalar survives","D1"
"Contact crowding and jamming","loss of free volume and rearrangement modes","granular particulate and cellular matter","nonsmooth locking or barrier after coarse-graining","only after smooth state-local reduction","hardening/finite capacity","constituents contact fabric history and scales","literal mechanism rejected; phenotype reduces","D1/D2/D3 after reduction"
