affected_module,defect,before,after
M05_pair_enumeration,wrong midpoint geometry,"midpoint = (iz+0.5, iy+0.5, ix+0.5) for every pair",midpoint = 0.5*(i+j) per component (generic formula)
M10_midpoint_rasterization,off-by-one in source slice,"valid source slice was [:, :, :-2] (excluded last valid pair)","valid source slice is [:, :, :-1] (N-1 not N-2)"
M12_differential_operators,wrong reference curl,"Cx = ∂_z(Rz) - ∂_y(Ry); Cy, Cz correct",Cx = ∂_y(Rz) - ∂_z(Ry); all three components verified independently
M08_pair_transfer,PS lanes not declared distinct,"PS1-A, PS1, PS1-B, PS2 all routed through averaging branch","All four PS lanes have dedicated code paths; PS1-A marked diagnostic-only, PS1-B and PS2 reported as algebraically equivalent (distinct after PM1)"
M04_tensor_transforms,waived inverse round-trips,Inverse round-trip gate returned True unconditionally for rotations,Inverse round-trip enforced for every RC with no waivers; einsum bug fixed; per-voxel matrix reference
M13_helmholtz_3d,"spacing ignored, padding implicit, closure not separated",spacing/padding accepted but ignored; padded and cropped closure reported as the same value,"spacing honoured (K = 2π·fftfreq(n,d)), padding options validated, padded and cropped closures reported separately, two fraction definitions (partition/native)"
M14_los_projection,docstring contradicts output,Docstring said depth component was discarded; function returned all three summed components,Split into project_vector_los_full (3 components) and project_vector_to_image_plane (2 components)
M16_observable_extraction,Spearman mishandled ties; pearson_vs_gr hard-coded,Spearman used double argsort (distinct ranks for ties); extract_jacobian_observables hard-coded GR as reference,"Spearman uses average ranks; pearson/spearman only when reference_kappa is explicitly supplied; new API extract_jacobian_observables(kappa, g1, g2, reference_kappa=None)"
M11_field_diagnostics,allow_zero unused; dtype-changing hash,allow_zero parameter had no effect; array_fingerprint silently cast dtype,allow_zero implemented (still rejects NaN/Inf); two hashes: raw_sha256 (dtype+shape+raw bytes) and canonical_float64_sha256 (content only)
M15_ray_interface,absolute variance gate rejected structured small fields,Reject any field with variance < 1e-15,"Five-category classification: exact_zero, constant_nonzero, structured_small, structured_normal, nonfinite. Only exact_zero and nonfinite are rejected."
M01_conventions,EPS_HASH unused; single global tolerance,EPS_HASH = 1e-300 unused; one EPS_* constant reused,"EPS_HASH removed; purpose-specific EPS_EXACT_COMPARISON, EPS_VARIANCE_UNDEFINED, EPS_NORM_RELATIVE, EPS_TRANSFORM, EPS_CLOSURE"
M02_coordinate_transforms,no static closed-form table,Independent references reused production tables,Static EXPECTED_AXIS_MAPPING in conventions; expected_scalar_mapping() compares against production
