id,item_or_equation,status,authoritative_origin,required_assumption_or_gap,downstream_consequence
GEO-E01,"g_mu nu(x)=G_mu nu[chi](x)",general functional ansatz; not closed,"MATTER-001 missing-map result; V11 constitutive interpretation","chi and G are absent","Defines all metric-mediated matter and photon response only when supplied"
GEO-E02,"G[f^*chi]=f^*G[chi]",required covariance constraint,"V11 sec. 1.1 retains GR and Lorentz invariance","diffeomorphism action on chi must be defined","Ensures the emergent tensor transforms as one physical metric"
GEO-E03,"det G != 0; signature(G)=(-,+,+,+)",required admissibility constraint,"standard GR retained by V11 sec. 1.1","signature and domain of chi are absent","Permits causal cones and standard relativistic matter dynamics"
GEO-E04,"G[chi_0]=gbar; g=gbar+h",required unloaded and weak-field normalization,"V11 standard relativistic framework","chi_0 and normalization are absent","Defines the background and perturbative regime"
GEO-E05,"h_mu nu(x)=integral R_mu nu A(x,y) delta chi^A(y)dmu(y)+O(delta chi^2)",derived first variation of E01,"functional Taylor expansion","R=delta G/delta chi is not supplied","Missing response kernel controls weak-field loading and propagation"
GEO-E06,"g_mu nu=eta_ab E^a_mu E^b_nu",admissible coframe realization; not selected,"tensor construction plus local Lorentz invariance","V11 supplies no coframe or gauge principle","Demonstrates one parameter-free form but not its ontology or dynamics"
GEO-E07,"g_mu nu=A(I)h_mu nu-B(I)U_mu U_nu",admissible local isotropic family; not selected,"spatial isotropy with a medium rest frame","U h invariants A and B are absent","Shows isotropy permits independent clock and ruler response"
GEO-E08,"g_mu nu=A(chi,X)gbar_mu nu+B(chi,X)partial_mu chi partial_nu chi",admissible reference-metric scalar family; not selected,"covariance after adding gbar and a scalar","reference metric and functions are extra constitutive structure","Shows a scalar alone cannot generate a metric without prior geometry"
GEO-E09,"T_m^{mu nu}=(2/sqrt(-g))delta S_m/delta g_mu nu",derived standard matter operator,"V11 sec. 1.1; MATTER-001","minimal universal metric coupling","Fixes matter operator but not its medium projection"
GEO-E10,"J_A(x)=-(1/(2sqrt(-g(x)))) integral sqrt(-g(y))T^{mu nu}(y) delta G_mu nu(y)/delta chi^A(x)d4y",exact functional chain-rule source,"GEO-E01 and MATTER-001","metric map must be differentiable; no direct fixed-metric matter coupling","Derives normalization projection and locality of the matter source once G is known"
GEO-E11,"J_A=-(1/2)T^{mu nu}partial_A G_mu nu",local algebraic reduction of E10,"E10 plus locality","local derivative-free map","Selects trace energy-density pressure or tensor loading according to G"
GEO-E12,"u=C[chi,g]",missing normalized coarse graining,"MATTER-001 and MB-001 gap","C dimensions scale and normalization absent","Required before a covariant medium equation can become the MB scalar equation"
GEO-E13,"s(x)=P_x^A[J_A]",conditional continuum projection,"MATTER-001-E07","P and its normalization absent","Defines the MB source without an independent matter coefficient once P is known"
GEO-E14,"K u-div(G_MB grad u)=s",conditional static balance,"MB-001-E01","S_sigma C P K and G_MB absent","Cannot yet be claimed as a derived PBUF continuum equation"
GEO-E15,"g_00=-(1+2Phi/c^2)+O(Phi^2/c^4)",required Newtonian limit,"standard GR retained by V11","proposed G and S_sigma must pass this test","Recovers standard slow-matter gravity but does not uniquely fix the map"
GEO-E16,"alpha_QM -> alpha_resolved/alpha_T(a) -> Omega_sigma(a)",authoritative background architecture,"V11 secs. 2.2-2.3.3; ALPHA-ARCH-001","no edge from an alpha to chi or G is supplied","No V11 alpha may be repurposed as a metric-response coefficient"
