family,wave_propagation,energy_storage,recovery,shear_support,long_range_response,saturation,thermal_dependence,stability_causality,PBUF_ontology,GR_limit,disposition
Linear elasticity,"Yes with inertial dynamics; speeds require moduli and kinetic law","Quadratic and reversible near equilibrium","Yes in its elastic range","Yes for a solid tensor/vector realization; not for scalar bulk-only reduction","Only through field propagation; no intrinsic constitutive nonlocality","No native finite-response saturation","Coefficients may depend on thermal state","Stable for positive energy; relativistic causality is an added dynamical constraint","Compatible only as the tangent/weak-deformation limit","Possible after covariantization and mode matching; not automatic","retain only as limiting theory"
Hyperelastic media,"Yes when supplied a causal kinetic sector","Stored-energy based and reversible","Yes when the unloaded state is a stable minimum","Yes when the strain/field content carries distortional modes","Local in its basic form; can be enriched","Can represent bounded or stiffening nonlinear response without implying V11's background saturation is a stress-strain law","Stored energy may inherit the existing thermal state dependence","Energy convexity/polyconvexity-type conditions aid stability; causal hyperbolicity still must be proved","Best behavioral match to elastic stress, storage, recovery, and possible nonlinearity","Possible in a diffeomorphism-covariant action with extra modes controlled and Einstein matching imposed","shortlist core umbrella"
Viscoelastic media,"Usually dispersive and attenuating","Partly stored and partly dissipated","Delayed or incomplete depending on model","Often yes on finite timescales","Temporal memory is natural; spatial nonlocality optional","Can show rate-dependent limiting response","Naturally temperature dependent","Passive kernels can be stable; relativistic causal memory requires explicit construction","Dissipation and memory are not established by PBUF; stronger than the ontology warrants","Possible only if dissipation decouples in the GR regime; not motivated","exclude as native; allow only future dissipative correction"
Nonlocal elasticity,"Dispersive waves are natural","Yes if generated by a symmetric positive kernel","Yes for a stable reversible kernel","Yes if tensor content supports shear","Intrinsic spatial long-range response","Nonlinearity may saturate but nonlocality alone does not","Kernel may depend on the existing thermal state","Requires positive spectrum and retarded spacetime support; purely spatial instantaneous kernels are not relativistically causal","Compatible and explicitly left open by MEDIUM-001; not selected by V11","Possible if covariant and causal and if the kernel reduces to the Einstein regime","shortlist enrichment"
Micromorphic / Cosserat continua,"Multiple acoustic/optic or rotational branches","Yes in nondissipative forms","Yes for stable elastic forms","Strong support including rotations and couple stresses","Usually local with internal length scales; enrichments possible","Nonlinear versions can saturate","Moduli/internal lengths may be thermal-state dependent","Stable choices exist; extra propagating modes and causal cones must be controlled","Potentially compatible with unresolved multicomponent/internal ontology, but no directors, microrotations, or couple stress are established","Possible only if extra modes decouple/hide and one universal metric emerges","conditional shortlist only"
Gradient elasticity,"Dispersive higher-spatial-gradient waves","Yes through strain/field-gradient energy","Yes for a positive energy functional","Yes when the underlying field carries shear","Quasilocal; produces length-dependent response and nonlocal Green functions","Nonlinear gradient models can saturate; gradient order alone does not","Gradient coefficients may depend on existing thermal state","Static positivity is tractable; higher time derivatives risk ghosts, while higher spatial derivatives need a covariant causal completion","Compatible with MB-001's conditional gradient term and MEDIUM-001 derivative family, but not selected","Possible if the derivative expansion is covariant, stable, causal, and irrelevant/controlled in the GR limit","shortlist enrichment"
Fractional constitutive models,"Usually anomalously dispersive/attenuating","Possible but often requires hereditary/nonlocal energy constructions","Often power-law memory rather than purely elastic recovery","Model dependent","Intrinsic scale-free space/time nonlocality","Not implied; fractional order does not provide saturation","Often useful for broad thermal/relaxation spectra","Passivity and causal branch structure require special restrictions","No PBUF evidence for scale-free memory or a fractional operator/order","Possible in principle but adds unsupported constitutive structure","exclude at present"
Fluid models,"Longitudinal sound modes","Compressional storage only in ideal/barotropic cases","Returns pressure/volume state but not solid shape","No static shear support for an ordinary fluid","Hydrodynamic propagation only unless separately nonlocal","Equations of state can saturate but this is not selected","Commonly temperature dependent","Relativistic perfect fluids can be causal only with suitable equation of state","Conflicts with PBUF's elastic-stress/rigidity language if taken as physical identity","Relativistic fluids can source GR but do not reproduce a solid-like native medium ontology","exclude as native identity; analogy only"
Viscoelastic-fluid models,"Dispersive and attenuating modes","Mixed storage and dissipation","Rate-dependent and generally not purely recoverable","Transient shear only","Memory is typical; spatial nonlocality optional","Possible but model dependent","Naturally thermal","Relativistic versions require causal relaxation rather than naive parabolic laws","Adds flow, viscosity, and entropy production absent from established ontology","Possible as an effective sector but not selected and must recover standard GR","exclude as native; analogy/correction only"
Relativistic elastic solid / EFT of media,"Supports covariant longitudinal and transverse modes when field content permits","Action-based reversible storage","Yes about a stable unloaded state","Yes for solid-type material fields or tensor strain","Local by default; admits controlled gradient/nonlocal extensions","Nonlinear invariants can represent finite-response behavior","Action coefficients/functionals may inherit V11 thermal inputs without redefinition","Designed for covariant hyperbolic analysis; subluminality, ghosts, and energy conditions still require proof","Most appropriate covariant realization of the hyperelastic umbrella while preserving operational Lorentz/GR requirements","Best structural route, but matching to one metric and Einstein dynamics remains a mandatory test","shortlist core realization"
