aspect,medium_state,history_parameter,coordinate_time,effective_relativistic_time,standard_3+1_GR,decision
Ontological role,"Physical configuration/Cauchy data on a 3D carrier, modulo gauge",None if pure bookkeeping,None; chart label,"Operational duration and causal order represented by the effective metric",Four-dimensional Lorentzian geometry is fundamental in the standard formulation,"Do not infer ontology from notation"
Minimal notation,"X=[q,p,...] in Q_phys","lambda on an oriented interval","x^0 in a chart","proper time along timelike histories and causal order from g","spatial data plus lapse/shift on a foliation","Field content of X is unresolved"
Physical invariance,"Gauge-equivalence class is physical","Invariant only up to strictly increasing reparametrization","Changes under coordinate transformations","Proper time is coordinate invariant","Refoliations/diffeomorphisms may describe the same geometry","lambda cannot be an observable absolute clock"
What it labels,"An instantaneous complete state","Position along one admissible history","Events/slices in a chosen chart","Clock readings and causal relations","Slices of a four-geometry","State and label are categorically distinct"
Dimension claim,"Carrier is ontically three-dimensional","Parameter is not a material direction","One of four coordinate labels in an effective representation","Metric has one timelike direction","One time plus three space dimensions in Lorentzian spacetime","A 4D representation does not by itself refute 3D ontology"
Required structure,"Configuration variables plus gauge quotient and sufficient Cauchy data","Orientation and admissible-history relation","Choice of chart/foliation","One Lorentzian metric and universal clock coupling","Metric constraints/evolution and lapse/shift","PBUF lacks complete state and temporal law"
Duration,"Not contained in one state","No invariant duration without a clock functional","Coordinate differences are generally not physical durations","Metric proper time or calibrated clock correlations","Computed geometrically from the metric","Duration emergence is unproved"
Causality,"Not fixed by a bare configuration","Not fixed by ordering alone","Not fixed by coordinate order alone","Fixed locally by effective metric cones","Part of Lorentzian geometry","Causal medium dynamics remains missing"
Preferred slicing,"None implied by the ontology alone","Would become preferred if lambda were observable","A coordinate choice may select a slicing","Must be slicing-independent in the V11 limit","No physical preferred foliation in standard covariant GR","Any medium foliation must be gauge/hidden or derived compatibly"
Past reconstruction,"Depends on completeness and evolution invertibility","Ordering alone says nothing","Coordinate records do not ensure reconstructibility","Limited by dynamics causal access and available data","Classical Cauchy evolution may be reversible under suitable conditions","Emergence alone does not prohibit reconstruction"
V11 status,"Not locally defined by V11","Not defined by V11 as fundamental","V11 uses standard relativistic coordinates","Operationally assumed through retained GR and standard dynamics","Explicitly retained by V11","Microscopic-to-effective identification is absent"
