family,mathematical_definition,large_deformation,regularity,classification,proof_or_condition
quadratic,finite polynomial; fixed 2-jet if calibrated,unbounded on an unbounded domain when positive,C-infinity,conditional,admit only if nonnegative and elliptic on D; alone does not encode a finite boundary
higher polynomial,finite invariant polynomial or polynomial in strain coordinates,usually unbounded; may be noncoercive by direction,C-infinity,conditional,admit members passing lower-bound and ellipticity tests; reject members with bad rays
analytic/power-series,"convergent invariant series, including entire functions","coercive, bounded, or singular according to full series",analytic inside convergence domain,conditional,representation only; reference coefficients through order two are fixed
exponential,"exp of an invariant scalar, sums/compositions",normally unbounded; directional behavior depends on its argument,analytic where argument is,conditional,"admit only normalized, stationary, stable members; not equivalent to its finite Taylor truncation"
logarithmic,log of a positive invariant/spectral expression,"finite, coercive, or barrier depending on argument",smooth only where argument is positive,conditional,admit only with domain containing I and complete boundary control
power-law/algebraic,real powers of positive invariants or stretches,"power-dependent; may grow, decay, or blow up",smooth on its positive branch,conditional,noninteger powers require a declared branch; bad growth members rejected
rational,ratio of invariant polynomials,"may saturate, grow, or have poles",smooth off denominator zero set,conditional,poles must coincide with excluded boundary; interior poles reject
special-function,"trigonometric, hyperbolic, inverse, or other smooth composition",function-dependent,domain-dependent,conditional,no new class at the constraint level; audit as a smooth scalar function
spectral separable,sum_A f(lambda_A) or symmetric stretch expression,controlled by f at spectral endpoints,spectral C2 requires divided-difference limits,conditional,admissible iff symmetric and spectrally regular; equivalent to an invariant representation
spectral coupled,"symmetric w(lambda1,lambda2,lambda3)",arbitrary admissible endpoint profile,C2 symmetric w with collision compatibility,conditional,"most general spectral coordinate form; equivalent to Phi(I1,I2,I3)"
volumetric-isochoric mixed,"f(J)+g(invariants of J^(-2/3)C), plus allowed couplings",component-dependent,smooth for J>0,conditional,"coordinate decomposition, not a new functional class; uncoupled restriction is not required"
mixed invariant,"nonseparable Phi(I1,I2,I3)",arbitrary admissible endpoint profile,as prescribed,conditional,generic surviving representation
finite-domain blow-up barrier,Phi approaches +infinity at every forbidden boundary,asymptotic barrier; unbounded energy; finite extensibility,"C1 interior, C2 near I; singular only at boundary",survives,directly enforces the frozen finite capacity
hard extended-value,finite interior Phi and +infinity outside closed D,finite or unbounded interior; hard finite extensibility,"lower semicontinuous globally, smooth operational interior",survives,enforces the frozen state constraint without an interior blow-up
finite endpoint plus state constraint,regular one-sided endpoint with separately declared frozen D,may be bounded/saturating,one-sided regularity plus interior C1,survives conditionally,admissible only because the independent state constraint forbids continuation
bounded saturation without constraint,Phi tends to a finite plateau on an extendible domain,bounded energy; often vanishing tangent,may be smooth,rejected,does not enforce finite capacity and may lose restoring/elliptic response
unbounded-domain coercive,Phi -> +infinity as norm(C)+norm(C^-1)->infinity,coercive and unbounded,function-dependent,"representation admissible, native domain mismatch",sufficient confinement only if D is unbounded; frozen finite-bound branch still needs an endpoint implementation
multiwell/nonconvex,two or more minima or nonconvex sectors,arbitrary,may be smooth,conditional/reject unstable members,"not forbidden by FP-4, but unique recovery is not natural; retain only a stable elliptic branch containing I"
piecewise/spline,piecewise smooth invariant scalar,arbitrary,may fail C1/C2 at joins,conditional,joins in propagation domain must preserve classical stress/tangent; nonsmooth I is rejected
implicit/supremal/relaxed,"energy defined by minimization, supremum, or envelope",arbitrary,often merely lower semicontinuous,conditional,admissible only where a unique smooth envelope supplies the required classical response; no hidden state
