id,claim,classification,source,justification
FND-003-T01,Physical space has three spatial dimensions,working premise,FND-003 mission; stated PBUF ontology,"Taken as the starting ontology, not derived by this milestone."
FND-003-T02,The microscopic state exists,explicitly stated in PBUF,CORE-001 and FND-002,A PBUF premise; existence alone fixes neither representation nor component count.
FND-003-T03,The microscopic state has exactly three real components,new assumption introduced after V11,CORE-001 working premise,"Three-dimensional space permits scalar, vector, tensor, and larger microscopic states; dimension matching is not a theorem."
FND-003-T04,Each component is associated with one spatial direction,new assumption introduced after V11,FND-003 candidate interpretation,"Requires q to be a spatial vector/covector and a choice of basis; components are basis-dependent, while q is geometric."
FND-003-T05,A faithful linear SO(3) vector realization needs at least three real components,mathematically derived,conditional representation argument,SO(3) has no faithful real representation in dimensions 1 or 2; its defining three-dimensional representation is faithful. The premise that q must be faithful and linear is additional.
FND-003-T06,The three-component realization is unique,not established,model comparison,"Even after selecting the vector representation, dynamics, parity, locality, couplings, and field content remain open; non-vector realizations also satisfy the base ontology."
FND-003-T07,g_dev=1/137 is an intrinsic microscopic coupling,working premise,CORE-001 and FND-002,"No supplied symmetry, normalization, action, or renormalization prescription derives or operationally isolates it."
FND-003-T08,g_dev directly normalizes the corrected CORE-001 linear source,mathematically derived,corrected CORE-001 energy,The source term is -epsilon_* g_dev eta e.q; no independent coupling multiplier or inverse-rescaling freedom remains.
FND-003-T09,The current theory identifies 1/137 as a separately measurable parameter,not established,corrected identifiability audit,"The normalized microscopic equation is sensitive directly to g_dev, but no supplied principle derives its numerical value or links it to an independently completed downstream observable."
FND-003-T10,u=C_L[e.q] is a scalar continuum deformation,mathematically derived,CORE-001 conditional map,It is rotationally scalar only when q and the matter-selected e transform together and the kernel is isotropic and normalized.
FND-003-T11,A direction-free nonzero linear map from a spatial vector q to a scalar u exists,not established,SO(3) invariance,"No nonzero SO(3)-invariant linear functional on the vector representation exists; one must add e, use derivatives such as div(q), or use a nonlinear invariant such as |q|."
FND-003-T12,The long-wave scalar equation K u-div(G grad u)=s(rho) follows,mathematically derived,CORE-001/FND-002,"Conditional on the projection, stable analytic energy, locality, isotropy, scale separation, and decoupling of other modes; coefficients and source law are not predicted."
